,Код товара,Месяц,Направление продаж,"Продажи, шт"
69,8,8,Оптовая торговля,46
70,8,9,Розничная торговля,45
71,8,9,Оптовая торговля,41
72,11,7,Розничная торговля,43
73,11,7,Оптовая торговля,43
74,11,8,Розничная торговля,43
75,11,8,Оптовая торговля,43
76,11,9,Розничная торговля,46
77,11,9,Оптовая торговля,46
78,303,7,Розничная торговля,43
79,303,7,Оптовая торговля,43
80,303,8,Розничная торговля,40
81,303,8,Оптовая торговля,40
82,303,9,Розничная торговля,49
83,303,9,Оптовая торговля,49
84,181,7,Розничная торговля,45
85,181,7,Оптовая торговля,47
86,181,8,Розничная торговля,43
87,181,8,Оптовая торговля,45
88,181,9,Розничная торговля,44
89,181,9,Оптовая торговля,46
90,611,7,Розничная торговля,41
91,611,7,Оптовая торговля,41
92,611,8,Розничная торговля,43
93,611,8,Оптовая торговля,43
94,611,9,Розничная торговля,42
95,611,9,Оптовая торговля,43
96,437,7,Розничная торговля,49
97,437,7,Оптовая торговля,48
98,437,8,Розничная торговля,44
99,437,8,Оптовая торговля,43
100,437,9,Розничная торговля,42
101,437,9,Оптовая торговля,40
102,313,7,Розничная торговля,47
103,313,7,Оптовая торговля,47
104,313,8,Розничная торговля,45
105,313,8,Оптовая торговля,47
106,313,9,Розничная торговля,44
107,313,9,Оптовая торговля,45
108,241,7,Розничная торговля,46
109,241,7,Оптовая торговля,45
110,241,8,Розничная торговля,45
111,241,8,Оптовая торговля,45
112,241,9,Розничная торговля,46
113,241,9,Оптовая торговля,45
114,560,7,Розничная торговля,46
115,560,7,Оптовая торговля,45
116,560,8,Розничная торговля,42
117,560,8,Оптовая торговля,42
118,560,9,Розничная торговля,47
119,560,9,Оптовая торговля,47
120,522,7,Розничная торговля,49
121,522,7,Оптовая торговля,44
122,522,8,Розничная торговля,47
123,522,8,Оптовая торговля,43
124,522,9,Розничная торговля,47
125,522,9,Оптовая торговля,43
126,532,7,Розничная торговля,48
127,532,7,Оптовая торговля,48
128,532,8,Розничная торговля,34
129,532,8,Оптовая торговля,34
130,532,9,Розничная торговля,39
131,532,9,Оптовая торговля,39
132,245,7,Розничная торговля,41
133,245,7,Оптовая торговля,39
134,245,8,Розничная торговля,48
135,245,8,Оптовая торговля,46
136,245,9,Розничная торговля,50
137,245,9,Оптовая торговля,49
138,578,7,Розничная торговля,35
139,578,7,Оптовая торговля,38
140,578,8,Розничная торговля,45
141,578,8,Оптовая торговля,47
142,578,9,Розничная торговля,50
143,578,9,Оптовая торговля,52
144,567,7,Розничная торговля,45
145,567,7,Оптовая торговля,46
146,567,8,Розничная торговля,50
147,567,8,Оптовая торговля,53
148,567,9,Розничная торговля,45
149,567,9,Оптовая торговля,48
150,559,7,Розничная торговля,42
151,559,7,Оптовая торговля,41
152,559,8,Розничная торговля,43
153,559,8,Оптовая торговля,44
154,559,9,Розничная торговля,46
155,559,9,Оптовая торговля,46
156,4,7,Розничная торговля,42
157,4,7,Оптовая торговля,44
158,4,8,Розничная торговля,42
159,4,8,Оптовая торговля,42
160,4,9,Розничная торговля,41
161,4,9,Оптовая торговля,43
162,361,7,Розничная торговля,43
163,361,7,Оптовая торговля,50
164,361,8,Розничная торговля,47
165,361,8,Оптовая торговля,41
166,361,9,Розничная торговля,44
167,361,9,Оптовая торговля,39
168,391,7,Розничная торговля,42
169,391,7,Оптовая торговля,46
170,391,8,Розничная торговля,38
171,391,8,Оптовая торговля,39
172,391,9,Розничная торговля,46
173,391,9,Оптовая торговля,50
174,415,7,Розничная торговля,46
175,415,7,Оптовая торговля,45
176,415,8,Розничная торговля,45
177,415,8,Оптовая торговля,44
178,415,9,Розничная торговля,42
179,415,9,Оптовая торговля,40
180,343,7,Розничная торговля,48
181,343,7,Оптовая торговля,47
182,343,8,Розничная торговля,46
183,343,8,Оптовая торговля,45
184,343,9,Розничная торговля,45
185,343,9,Оптовая торговля,44
186,614,7,Розничная торговля,41
187,614,7,Оптовая торговля,39
188,614,8,Розничная торговля,47
189,614,8,Оптовая торговля,46
190,614,9,Розничная торговля,46
191,614,9,Оптовая торговля,45
192,50,7,Розничная торговля,44
193,50,7,Оптовая торговля,45
194,50,8,Розничная торговля,45
195,50,8,Оптовая торговля,46
196,50,9,Розничная торговля,41
197,50,9,Оптовая торговля,39
198,450,7,Розничная торговля,42
199,450,7,Оптовая торговля,46
200,450,8,Розничная торговля,43
201,450,8,Оптовая торговля,46
202,450,9,Розничная торговля,42
203,450,9,Оптовая торговля,42
204,569,7,Розничная торговля,44
205,569,7,Оптовая торговля,45
206,569,8,Розничная торговля,50
207,569,8,Оптовая торговля,51
208,569,9,Розничная торговля,44
209,569,9,Оптовая торговля,45
210,546,7,Розничная торговля,45
211,546,7,Оптовая торговля,46
212,546,8,Розничная торговля,46
213,546,8,Оптовая торговля,47
214,546,9,Розничная торговля,40
215,546,9,Оптовая торговля,41
216,403,7,Розничная торговля,51
217,403,7,Оптовая торговля,50
218,403,8,Розничная торговля,45
219,403,8,Оптовая торговля,45
220,403,9,Розничная торговля,46
221,403,9,Оптовая торговля,45
222,596,7,Розничная торговля,43
223,596,7,Оптовая торговля,44
224,596,8,Розничная торговля,44
225,596,8,Оптовая торговля,44
226,596,9,Розничная торговля,40
227,596,9,Оптовая торговля,39
228,464,7,Розничная торговля,43
229,464,7,Оптовая торговля,43
230,464,8,Розничная торговля,44
231,464,8,Оптовая торговля,44
232,464,9,Розничная торговля,48
233,464,9,Оптовая торговля,48
234,516,7,Розничная торговля,47
235,516,7,Оптовая торговля,45
236,516,8,Розничная торговля,45
237,516,8,Оптовая торговля,43
238,516,9,Розничная торговля,46
239,516,9,Оптовая торговля,44
240,295,7,Розничная торговля,42
241,295,7,Оптовая торговля,42
242,295,8,Розничная торговля,45
243,295,8,Оптовая торговля,45
244,295,9,Розничная торговля,44
245,295,9,Оптовая торговля,44
246,242,7,Розничная торговля,48
247,242,7,Оптовая торговля,47
248,242,8,Розничная торговля,47
249,242,8,Оптовая торговля,46
250,242,9,Розничная торговля,43
251,242,9,Оптовая торговля,43
252,580,7,Розничная торговля,47
253,580,7,Оптовая торговля,50
254,580,8,Розничная торговля,40
255,580,8,Оптовая торговля,42
256,580,9,Розничная торговля,42
257,580,9,Оптовая торговля,44
258,319,7,Розничная торговля,47
259,319,7,Оптовая торговля,46
260,319,8,Розничная торговля,38
261,319,8,Оптовая торговля,38
262,319,9,Розничная торговля,44
263,319,9,Оптовая торговля,43
264,330,7,Розничная торговля,46
265,330,7,Оптовая торговля,46
266,330,8,Розничная торговля,44
267,330,8,Оптовая торговля,45
268,330,9,Розничная торговля,44
269,330,9,Оптовая торговля,45
270,197,7,Розничная торговля,47
271,197,7,Оптовая торговля,43
272,197,8,Розничная торговля,40
273,197,8,Оптовая торговля,40
274,197,9,Розничная торговля,46
275,197,9,Оптовая торговля,46
276,331,7,Розничная торговля,42
277,331,7,Оптовая торговля,41
278,331,8,Розничная торговля,44
279,331,8,Оптовая торговля,43
280,331,9,Розничная торговля,45
281,331,9,Оптовая торговля,44
282,587,7,Розничная торговля,35
283,587,7,Оптовая торговля,42
284,587,8,Розничная торговля,53
285,587,8,Оптовая торговля,53
286,587,9,Розничная торговля,42
287,587,9,Оптовая торговля,38
288,199,7,Розничная торговля,42
289,199,7,Оптовая торговля,40
290,199,8,Розничная торговля,42
291,199,8,Оптовая торговля,43
292,199,9,Розничная торговля,49
293,199,9,Оптовая торговля,48
294,101,7,Розничная торговля,53
295,101,7,Оптовая торговля,48
296,101,8,Розничная торговля,35
297,101,8,Оптовая торговля,34
298,101,9,Розничная торговля,43
299,101,9,Оптовая торговля,42
300,407,7,Розничная торговля,44
301,407,7,Оптовая торговля,45
302,407,8,Розничная торговля,42
303,407,8,Оптовая торговля,44
304,407,9,Розничная торговля,52
305,407,9,Оптовая торговля,57
306,93,7,Розничная торговля,46
307,93,7,Оптовая торговля,45
308,93,8,Розничная торговля,47
309,93,8,Оптовая торговля,46
310,93,9,Розничная торговля,50
311,93,9,Оптовая торговля,49
312,55,7,Розничная торговля,47
313,55,7,Оптовая торговля,47
314,55,8,Розничная торговля,44
315,55,8,Оптовая торговля,44
316,55,9,Розничная торговля,46
317,55,9,Оптовая торговля,46
318,489,7,Розничная торговля,45
319,489,7,Оптовая торговля,44
320,489,8,Розничная торговля,46
321,489,8,Оптовая торговля,45
322,489,9,Розничная торговля,47
323,489,9,Оптовая торговля,46
324,150,7,Розничная торговля,40
325,150,7,Оптовая торговля,41
326,150,8,Розничная торговля,45
327,150,8,Оптовая торговля,44
328,150,9,Розничная торговля,46
329,150,9,Оптовая торговля,44
330,237,7,Розничная торговля,44
331,237,7,Оптовая торговля,47
332,237,8,Розничная торговля,37
333,237,8,Оптовая торговля,40
334,237,9,Розничная торговля,43
335,237,9,Оптовая торговля,46
336,274,7,Розничная торговля,44
337,274,7,Оптовая торговля,45
338,274,8,Розничная торговля,47
339,274,8,Оптовая торговля,48
340,274,9,Розничная торговля,42
341,274,9,Оптовая торговля,43
342,304,7,Розничная торговля,43
343,304,7,Оптовая торговля,41
344,304,8,Розничная торговля,43
345,304,8,Оптовая торговля,41
346,304,9,Розничная торговля,46
347,304,9,Оптовая торговля,46
348,195,7,Розничная торговля,48
349,195,7,Оптовая торговля,48
350,195,8,Розничная торговля,44
351,195,8,Оптовая торговля,45
352,195,9,Розничная торговля,48
353,195,9,Оптовая торговля,51
354,105,7,Розничная торговля,45
355,105,7,Оптовая торговля,44
356,105,8,Розничная торговля,41
357,105,8,Оптовая торговля,41
358,105,9,Розничная торговля,44
359,105,9,Оптовая торговля,45
360,443,7,Розничная торговля,45
361,443,7,Оптовая торговля,44
362,443,8,Розничная торговля,43
363,443,8,Оптовая торговля,44
364,443,9,Розничная торговля,45
365,443,9,Оптовая торговля,45
366,86,7,Розничная торговля,47
367,86,7,Оптовая торговля,44
368,86,8,Розничная торговля,47
369,86,8,Оптовая торговля,45
370,86,9,Розничная торговля,46
371,86,9,Оптовая торговля,43
372,536,7,Розничная торговля,44
373,536,7,Оптовая торговля,45
374,536,8,Розничная торговля,42
375,536,8,Оптовая торговля,43
376,536,9,Розничная торговля,44
377,536,9,Оптовая торговля,45
378,320,7,Розничная торговля,47
379,320,7,Оптовая торговля,47
380,320,8,Розничная торговля,45
381,320,8,Оптовая торговля,47
382,320,9,Розничная торговля,38
383,320,9,Оптовая торговля,38
384,375,7,Розничная торговля,41
385,375,7,Оптовая торговля,42
386,375,8,Розничная торговля,47
387,375,8,Оптовая торговля,48
388,375,9,Розничная торговля,43
389,375,9,Оптовая торговля,44
390,166,7,Розничная торговля,44
391,166,7,Оптовая торговля,44
392,166,8,Розничная торговля,43
393,166,8,Оптовая торговля,43
394,166,9,Розничная торговля,46
395,166,9,Оптовая торговля,46
396,648,7,Розничная торговля,44
397,648,7,Оптовая торговля,43
398,648,8,Розничная торговля,43
399,648,8,Оптовая торговля,42
400,648,9,Розничная торговля,48
401,648,9,Оптовая торговля,47
402,191,7,Розничная торговля,40
403,191,7,Оптовая торговля,40
404,191,8,Розничная торговля,42
405,191,8,Оптовая торговля,43
406,191,9,Розничная торговля,43
407,191,9,Оптовая торговля,44
408,278,7,Розничная торговля,43
409,278,7,Оптовая торговля,44
410,278,8,Розничная торговля,44
411,278,8,Оптовая торговля,44
412,278,9,Розничная торговля,41
413,278,9,Оптовая торговля,42
414,573,7,Розничная торговля,45
415,573,7,Оптовая торговля,43
416,573,8,Розничная торговля,46
417,573,8,Оптовая торговля,46
418,573,9,Розничная торговля,44
419,573,9,Оптовая торговля,42
420,628,7,Розничная торговля,42
421,628,7,Оптовая торговля,41
422,628,8,Розничная торговля,48
423,628,8,Оптовая торговля,45
424,628,9,Розничная торговля,44
425,628,9,Оптовая торговля,43
426,28,7,Розничная торговля,40
427,28,7,Оптовая торговля,41
428,28,8,Розничная торговля,48
429,28,8,Оптовая торговля,49
430,28,9,Розничная торговля,42
431,28,9,Оптовая торговля,43
432,457,7,Розничная торговля,46
433,457,7,Оптовая торговля,44
434,457,8,Розничная торговля,44
435,457,8,Оптовая торговля,42
436,457,9,Розничная торговля,43
437,457,9,Оптовая торговля,41
438,354,7,Розничная торговля,45
439,354,7,Оптовая торговля,44
440,354,8,Розничная торговля,44
441,354,8,Оптовая торговля,43
442,354,9,Розничная торговля,45
443,354,9,Оптовая торговля,44
444,479,7,Розничная торговля,32
445,479,7,Оптовая торговля,30
446,479,8,Розничная торговля,45
447,479,8,Оптовая торговля,42
448,479,9,Розничная торговля,48
449,479,9,Оптовая торговля,42
450,435,7,Розничная торговля,54
451,435,7,Оптовая торговля,56
452,435,8,Розничная торговля,45
453,435,8,Оптовая торговля,47
454,435,9,Розничная торговля,44
455,435,9,Оптовая торговля,47
456,379,7,Розничная торговля,44
457,379,7,Оптовая торговля,44
458,379,8,Розничная торговля,44
459,379,8,Оптовая торговля,39
460,379,9,Розничная торговля,47
461,379,9,Оптовая торговля,46
462,426,7,Розничная торговля,45
463,426,7,Оптовая торговля,43
464,426,8,Розничная торговля,45
465,426,8,Оптовая торговля,44
466,426,9,Розничная торговля,47
467,426,9,Оптовая торговля,45
468,362,7,Розничная торговля,26
469,362,7,Оптовая торговля,25
470,362,8,Розничная торговля,51
471,362,8,Оптовая торговля,48
472,362,9,Розничная торговля,40
473,362,9,Оптовая торговля,40
474,494,7,Розничная торговля,43
475,494,7,Оптовая торговля,43
476,494,8,Розничная торговля,43
477,494,8,Оптовая торговля,44
478,494,9,Розничная торговля,45
479,494,9,Оптовая торговля,46
480,429,7,Розничная торговля,38
481,429,7,Оптовая торговля,39
482,429,8,Розничная торговля,44
483,429,8,Оптовая торговля,45
484,429,9,Розничная торговля,46
485,429,9,Оптовая торговля,48
486,592,7,Розничная торговля,48
487,592,7,Оптовая торговля,48
488,592,8,Розничная торговля,45
489,592,8,Оптовая торговля,46
490,592,9,Розничная торговля,44
491,592,9,Оптовая торговля,45
492,368,7,Розничная торговля,47
493,368,7,Оптовая торговля,48
494,368,8,Розничная торговля,42
495,368,8,Оптовая торговля,43
496,368,9,Розничная торговля,45
497,368,9,Оптовая торговля,46
498,486,7,Розничная торговля,42
499,486,7,Оптовая торговля,42
500,486,8,Розничная торговля,45
501,486,8,Оптовая торговля,46
502,486,9,Розничная торговля,46
503,486,9,Оптовая торговля,47
504,623,7,Розничная торговля,45
505,623,7,Оптовая торговля,45
506,623,8,Розничная торговля,41
507,623,8,Оптовая торговля,40
508,623,9,Розничная торговля,43
509,623,9,Оптовая торговля,44
510,52,7,Розничная торговля,47
511,52,7,Оптовая торговля,47
512,52,8,Розничная торговля,43
513,52,8,Оптовая торговля,43
514,52,9,Розничная торговля,43
515,52,9,Оптовая торговля,43
516,229,7,Розничная торговля,45
517,229,7,Оптовая торговля,46
518,229,8,Розничная торговля,46
519,229,8,Оптовая торговля,48
520,229,9,Розничная торговля,45
521,229,9,Оптовая торговля,46
522,289,7,Розничная торговля,41
523,289,7,Оптовая торговля,40
524,289,8,Розничная торговля,43
525,289,8,Оптовая торговля,42
526,289,9,Розничная торговля,46
527,289,9,Оптовая торговля,45
528,625,7,Розничная торговля,43
529,625,7,Оптовая торговля,47
530,625,8,Розничная торговля,41
531,625,8,Оптовая торговля,45
532,625,9,Розничная торговля,51
533,625,9,Оптовая торговля,56
534,551,7,Розничная торговля,50
535,551,7,Оптовая торговля,49
536,551,8,Розничная торговля,47
537,551,8,Оптовая торговля,46
538,551,9,Розничная торговля,42
539,551,9,Оптовая торговля,40
540,239,7,Розничная торговля,48
541,239,7,Оптовая торговля,48
542,239,8,Розничная торговля,44
543,239,8,Оптовая торговля,45
544,239,9,Розничная торговля,43
545,239,9,Оптовая торговля,44
546,257,7,Розничная торговля,43
547,257,7,Оптовая торговля,43
548,257,8,Розничная торговля,36
549,257,8,Оптовая торговля,34
550,257,9,Розничная торговля,20
551,257,9,Оптовая торговля,17
552,218,7,Розничная торговля,51
553,218,7,Оптовая торговля,52
554,218,8,Розничная торговля,50
555,218,8,Оптовая торговля,49
556,218,9,Розничная торговля,40
557,218,9,Оптовая торговля,44
558,39,7,Розничная торговля,43
559,39,7,Оптовая торговля,43
560,39,8,Розничная торговля,41
561,39,8,Оптовая торговля,41
562,39,9,Розничная торговля,47
563,39,9,Оптовая торговля,47
564,65,7,Розничная торговля,43
565,65,7,Оптовая торговля,44
566,65,8,Розничная торговля,45
567,65,8,Оптовая торговля,46
568,65,9,Розничная торговля,43
569,65,9,Оптовая торговля,44
570,574,7,Розничная торговля,44
571,574,7,Оптовая торговля,44
572,574,8,Розничная торговля,48
573,574,8,Оптовая торговля,49
574,574,9,Розничная торговля,42
575,574,9,Оптовая торговля,42
576,585,7,Розничная торговля,42
577,585,7,Оптовая торговля,41
578,585,8,Розничная торговля,45
579,585,8,Оптовая торговля,44
580,585,9,Розничная торговля,42
581,585,9,Оптовая торговля,41
582,128,7,Розничная торговля,45
583,128,7,Оптовая торговля,44
584,128,8,Розничная торговля,43
585,128,8,Оптовая торговля,42
586,128,9,Розничная торговля,42
587,128,9,Оптовая торговля,42
588,19,7,Розничная торговля,45
589,19,7,Оптовая торговля,44
590,19,8,Розничная торговля,42
591,19,8,Оптовая торговля,41
592,19,9,Розничная торговля,45
593,19,9,Оптовая торговля,44
594,608,7,Розничная торговля,44
595,608,7,Оптовая торговля,44
596,608,8,Розничная торговля,45
597,608,8,Оптовая торговля,45
598,608,9,Розничная торговля,43
599,608,9,Оптовая торговля,42
600,306,7,Розничная торговля,44
601,306,7,Оптовая торговля,43
602,306,8,Розничная торговля,45
603,306,8,Оптовая торговля,44
604,306,9,Розничная торговля,45
605,306,9,Оптовая торговля,44
606,117,7,Розничная торговля,44
607,117,7,Оптовая торговля,45
608,117,8,Розничная торговля,45
609,117,8,Оптовая торговля,46
610,117,9,Розничная торговля,44
611,117,9,Оптовая торговля,45
612,497,7,Розничная торговля,46
613,497,7,Оптовая торговля,45
614,497,8,Розничная торговля,46
615,497,8,Оптовая торговля,45
616,497,9,Розничная торговля,45
617,497,9,Оптовая торговля,43
618,527,7,Розничная торговля,45
619,527,7,Оптовая торговля,45
620,527,8,Розничная торговля,47
621,527,8,Оптовая торговля,46
622,527,9,Розничная торговля,44
623,527,9,Оптовая торговля,44
624,508,7,Розничная торговля,44
625,508,7,Оптовая торговля,44
626,508,8,Розничная торговля,45
627,508,8,Оптовая торговля,45
628,508,9,Розничная торговля,45
629,508,9,Оптовая торговля,45
630,74,7,Розничная торговля,45
631,74,7,Оптовая торговля,45
632,74,8,Розничная торговля,42
633,74,8,Оптовая торговля,42
634,74,9,Розничная торговля,46
635,74,9,Оптовая торговля,45
636,419,7,Розничная торговля,42
637,419,7,Оптовая торговля,43
638,419,8,Розничная торговля,45
639,419,8,Оптовая торговля,46
640,419,9,Розничная торговля,44
641,419,9,Оптовая торговля,45
642,396,7,Розничная торговля,41
643,396,7,Оптовая торговля,43
644,396,8,Розничная торговля,43
645,396,8,Оптовая торговля,44
646,396,9,Розничная торговля,43
647,396,9,Оптовая торговля,44
648,649,7,Розничная торговля,44
649,649,7,Оптовая торговля,45
650,649,8,Розничная торговля,41
651,649,8,Оптовая торговля,42
652,649,9,Розничная торговля,45
653,649,9,Оптовая торговля,46
654,312,7,Розничная торговля,46
655,312,7,Оптовая торговля,45
656,312,8,Розничная торговля,43
657,312,8,Оптовая торговля,43
658,312,9,Розничная торговля,44
659,312,9,Оптовая торговля,43
660,654,7,Розничная торговля,47
661,654,7,Оптовая торговля,46
662,654,8,Розничная торговля,48
663,654,8,Оптовая торговля,47
664,654,9,Розничная торговля,41
665,654,9,Оптовая торговля,40
666,466,7,Розничная торговля,42
667,466,7,Оптовая торговля,41
668,466,8,Розничная торговля,46
669,466,8,Оптовая торговля,44
670,466,9,Розничная торговля,43
671,466,9,Оптовая торговля,42
672,130,7,Розничная торговля,42
673,130,7,Оптовая торговля,43
674,130,8,Розничная торговля,44
675,130,8,Оптовая торговля,44
676,130,9,Розничная торговля,45
677,130,9,Оптовая торговля,46
678,399,7,Розничная торговля,44
679,399,7,Оптовая торговля,45
680,399,8,Розничная торговля,44
681,399,8,Оптовая торговля,44
682,399,9,Розничная торговля,44
683,399,9,Оптовая торговля,44
684,631,7,Розничная торговля,48
685,631,7,Оптовая торговля,45
686,631,8,Розничная торговля,49
687,631,8,Оптовая торговля,46
688,631,9,Розничная торговля,47
689,631,9,Оптовая торговля,46
690,100,7,Розничная торговля,39
691,100,7,Оптовая торговля,41
692,100,8,Розничная торговля,45
693,100,8,Оптовая торговля,47
694,100,9,Розничная торговля,42
695,100,9,Оптовая торговля,45
696,223,7,Розничная торговля,46
697,223,7,Оптовая торговля,47
698,223,8,Розничная торговля,42
699,223,8,Оптовая торговля,44
700,223,9,Розничная торговля,44
701,223,9,Оптовая торговля,45
702,371,7,Розничная торговля,46
703,371,7,Оптовая торговля,47
704,371,8,Розничная торговля,39
705,371,8,Оптовая торговля,40
706,371,9,Розничная торговля,53
707,371,9,Оптовая торговля,54
708,382,7,Розничная торговля,44
709,382,7,Оптовая торговля,42
710,382,8,Розничная торговля,44
711,382,8,Оптовая торговля,45
712,382,9,Розничная торговля,48
713,382,9,Оптовая торговля,47
714,236,7,Розничная торговля,44
715,236,7,Оптовая торговля,43
716,236,8,Розничная торговля,44
717,236,8,Оптовая торговля,43
718,236,9,Розничная торговля,46
719,236,9,Оптовая торговля,46
720,281,7,Розничная торговля,44
721,281,7,Оптовая торговля,45
722,281,8,Розничная торговля,44
723,281,8,Оптовая торговля,45
724,281,9,Розничная торговля,45
725,281,9,Оптовая торговля,46
726,147,7,Розничная торговля,45
727,147,7,Оптовая торговля,45
728,147,8,Розничная торговля,43
729,147,8,Оптовая торговля,44
730,147,9,Розничная торговля,46
731,147,9,Оптовая торговля,46
732,514,7,Розничная торговля,43
733,514,7,Оптовая торговля,44
734,514,8,Розничная торговля,44
735,514,8,Оптовая торговля,45
736,514,9,Розничная торговля,52
737,514,9,Оптовая торговля,52
738,347,7,Розничная торговля,44
739,347,7,Оптовая торговля,44
740,347,8,Розничная торговля,38
741,347,8,Оптовая торговля,38
742,347,9,Розничная торговля,43
743,347,9,Оптовая торговля,44
744,168,7,Розничная торговля,42
745,168,7,Оптовая торговля,44
746,168,8,Розничная торговля,41
747,168,8,Оптовая торговля,43
748,168,9,Розничная торговля,43
749,168,9,Оптовая торговля,44
750,307,7,Розничная торговля,48
751,307,7,Оптовая торговля,50
752,307,8,Розничная торговля,47
753,307,8,Оптовая торговля,48
754,307,9,Розничная торговля,42
755,307,9,Оптовая торговля,44
756,279,7,Розничная торговля,45
757,279,7,Оптовая торговля,44
758,279,8,Розничная торговля,42
759,279,8,Оптовая торговля,41
760,279,9,Розничная торговля,45
761,279,9,Оптовая торговля,45
762,581,7,Розничная торговля,35
763,581,7,Оптовая торговля,34
764,581,8,Розничная торговля,45
765,581,8,Оптовая торговля,46
766,581,9,Розничная торговля,48
767,581,9,Оптовая торговля,51
768,642,7,Розничная торговля,46
769,642,7,Оптовая торговля,46
770,642,8,Розничная торговля,43
771,642,8,Оптовая торговля,43
772,642,9,Розничная торговля,44
773,642,9,Оптовая торговля,45
774,475,7,Розничная торговля,43
775,475,7,Оптовая торговля,42
776,475,8,Розничная торговля,43
777,475,8,Оптовая торговля,42
778,475,9,Розничная торговля,45
779,475,9,Оптовая торговля,44
780,53,7,Розничная торговля,43
781,53,7,Оптовая торговля,43
782,53,8,Розничная торговля,44
783,53,8,Оптовая торговля,45
784,53,9,Розничная торговля,46
785,53,9,Оптовая торговля,45
786,369,7,Розничная торговля,53
787,369,7,Оптовая торговля,53
788,369,8,Розничная торговля,43
789,369,8,Оптовая торговля,43
790,369,9,Розничная торговля,56
791,369,9,Оптовая торговля,56
792,228,7,Розничная торговля,27
793,228,7,Оптовая торговля,28
794,228,8,Розничная торговля,38
795,228,8,Оптовая торговля,38
796,228,9,Розничная торговля,46
797,228,9,Оптовая торговля,48
798,269,7,Розничная торговля,47
799,269,7,Оптовая торговля,46
800,269,8,Розничная торговля,46
801,269,8,Оптовая торговля,44
802,269,9,Розничная торговля,44
803,269,9,Оптовая торговля,43
804,26,7,Розничная торговля,38
805,26,7,Оптовая торговля,38
806,26,8,Розничная торговля,51
807,26,8,Оптовая торговля,48
808,26,9,Розничная торговля,48
809,26,9,Оптовая торговля,47
810,29,7,Розничная торговля,43
811,29,7,Оптовая торговля,45
812,29,8,Розничная торговля,43
813,29,8,Оптовая торговля,43
814,29,9,Розничная торговля,43
815,29,9,Оптовая торговля,44
816,629,7,Розничная торговля,46
817,629,7,Оптовая торговля,44
818,629,8,Розничная торговля,42
819,629,8,Оптовая торговля,41
820,629,9,Розничная торговля,42
821,629,9,Оптовая торговля,41
822,300,7,Розничная торговля,47
823,300,7,Оптовая торговля,45
824,300,8,Розничная торговля,46
825,300,8,Оптовая торговля,44
826,300,9,Розничная торговля,46
827,300,9,Оптовая торговля,45
828,602,7,Розничная торговля,36
829,602,7,Оптовая торговля,37
830,602,8,Розничная торговля,40
831,602,8,Оптовая торговля,40
832,602,9,Розничная торговля,51
833,602,9,Оптовая торговля,51
834,584,7,Розничная торговля,43
835,584,7,Оптовая торговля,45
836,584,8,Розничная торговля,45
837,584,8,Оптовая торговля,46
838,584,9,Розничная торговля,30
839,584,9,Оптовая торговля,30
840,135,7,Розничная торговля,30
841,135,7,Оптовая торговля,42
842,135,8,Розничная торговля,38
843,135,8,Оптовая торговля,49
844,135,9,Розничная торговля,24
