,Код товара,Дата накладной,"Продажи, шт",скидка,Оптовая торговля,Розничная торговля
189910,1,8,26,19,0,1
189911,1,8,67,7,0,1
189912,1,8,57,16,0,1
189913,1,8,36,16,0,1
189914,1,8,54,13,0,1
189915,1,8,42,15,0,1
189916,1,8,56,10,0,1
189917,1,8,44,5,0,1
189918,1,8,68,7,0,1
189919,1,8,52,6,0,1
189920,1,8,53,0,0,1
189921,1,8,58,19,0,1
189922,1,8,65,8,0,1
189923,1,8,37,8,0,1
189924,1,9,41,16,0,1
189925,1,9,42,13,0,1
189926,1,9,61,7,0,1
189927,1,9,49,0,0,1
189928,1,9,24,16,0,1
189929,1,9,49,16,0,1
189930,1,9,60,8,0,1
189931,1,9,58,17,0,1
189932,1,9,39,19,0,1
189933,1,9,32,15,0,1
189934,1,9,50,13,0,1
189935,1,9,27,8,0,1
189936,1,9,22,0,0,1
189937,1,9,47,15,0,1
189938,1,9,23,12,0,1
189939,1,9,57,6,0,1
189940,1,9,53,4,0,1
189941,1,10,48,1,0,1
189942,1,10,66,16,0,1
189943,1,10,51,17,0,1
189944,1,10,54,15,0,1
189945,1,10,21,17,0,1
189946,1,10,23,1,0,1
189947,1,10,40,1,0,1
189948,1,10,30,18,0,1
189949,1,10,60,16,0,1
189950,1,10,23,12,0,1
189951,1,10,59,4,0,1
189952,1,10,55,18,0,1
189953,1,10,54,17,0,1
189954,1,10,46,3,0,1
189955,1,10,56,4,0,1
189956,1,10,44,14,0,1
189957,1,10,45,5,0,1
189958,1,10,55,10,0,1
189959,1,10,44,3,0,1
189960,1,10,60,5,0,1
189961,1,10,65,15,0,1
189962,1,11,57,9,0,1
189963,1,11,43,6,0,1
189964,1,11,28,19,0,1
189965,1,11,26,3,0,1
189966,1,11,32,2,0,1
189967,1,11,25,14,0,1
189968,1,11,67,15,0,1
189969,1,11,45,6,0,1
189970,1,11,51,0,0,1
189971,1,11,39,2,0,1
189972,1,11,59,19,0,1
189973,1,11,28,5,0,1
189974,1,11,63,1,0,1
189975,1,11,30,16,0,1
189976,1,11,48,3,0,1
189977,1,11,30,15,0,1
189978,1,11,51,16,0,1
189979,1,11,28,9,0,1
189980,1,12,48,7,0,1
189981,1,12,49,19,0,1
189982,1,12,23,14,0,1
189983,1,12,26,11,0,1
189984,1,12,27,17,0,1
189985,1,12,21,18,0,1
189986,1,12,33,0,0,1
189987,1,12,33,5,0,1
189988,1,12,52,4,0,1
189989,1,12,58,5,0,1
189990,1,12,29,4,0,1
189991,1,12,55,15,0,1
189992,1,12,56,6,0,1
189993,1,12,26,0,0,1
189994,1,12,20,10,0,1
189995,1,12,53,11,0,1
189996,1,12,55,18,0,1
189997,1,12,62,5,0,1
189998,1,12,67,2,0,1
189999,1,1,33,0,0,1
190000,1,1,54,5,0,1
190001,1,1,42,1,0,1
190002,1,1,59,1,0,1
190003,1,1,36,3,0,1
190004,1,1,48,17,0,1
190005,1,1,50,19,0,1
190006,1,1,59,4,0,1
190007,1,1,63,4,0,1
190008,1,1,32,19,0,1
190009,1,1,48,12,0,1
190010,1,2,57,5,0,1
190011,1,2,45,13,0,1
190012,1,2,36,18,0,1
190013,1,2,32,18,0,1
190014,1,2,46,0,0,1
190015,1,2,52,2,0,1
190016,1,2,40,10,0,1
190017,1,2,20,14,0,1
190018,1,2,65,19,0,1
190019,1,2,57,14,0,1
190020,1,2,26,2,0,1
190021,1,2,58,15,0,1
190022,1,3,61,11,0,1
190023,1,3,21,13,0,1
190024,1,3,30,9,0,1
190025,1,3,30,2,0,1
190026,1,3,65,18,0,1
190027,1,3,28,1,0,1
190028,1,3,38,2,0,1
190029,1,3,34,4,0,1
190030,1,3,39,18,0,1
190031,1,3,32,13,0,1
190032,1,3,40,11,0,1
190033,1,3,58,18,0,1
190034,1,3,20,1,0,1
190035,1,3,48,4,0,1
190036,1,3,44,10,0,1
190037,1,3,54,2,0,1
190038,1,3,46,0,0,1
190039,1,3,23,18,0,1
190040,1,4,34,14,0,1
190041,1,4,38,19,0,1
190042,1,4,52,11,0,1
190043,1,4,45,18,0,1
190044,1,4,22,11,0,1
190045,1,4,68,5,0,1
190046,1,4,26,19,0,1
190047,1,4,64,7,0,1
190048,1,4,35,5,0,1
190049,1,4,26,13,0,1
190050,1,4,61,19,0,1
190051,1,4,62,7,0,1
190052,1,4,26,9,0,1
190053,1,4,54,4,0,1
190054,1,4,25,7,0,1
190055,1,4,38,0,0,1
190056,1,4,41,5,0,1
190057,1,4,46,12,0,1
190058,1,5,25,2,0,1
190059,1,5,26,6,0,1
190060,1,5,47,13,0,1
190061,1,5,44,2,0,1
190062,1,5,61,15,0,1
190063,1,5,57,2,0,1
190064,1,5,57,2,0,1
190065,1,5,39,2,0,1
190066,1,5,49,12,0,1
190067,1,5,64,1,0,1
190068,1,5,68,1,0,1
190069,1,5,44,17,0,1
190070,1,5,34,8,0,1
190071,1,5,47,0,0,1
190072,1,5,56,6,0,1
190073,1,5,47,18,0,1
190074,1,5,22,2,0,1
190075,1,6,68,3,0,1
190076,1,6,58,14,0,1
190077,1,6,41,15,0,1
190078,1,6,50,4,0,1
190079,1,6,45,14,0,1
190080,1,6,65,6,0,1
190081,1,6,30,14,0,1
190082,1,6,61,4,0,1
190083,1,6,63,2,0,1
190084,1,6,36,18,0,1
190085,1,6,26,18,0,1
190086,1,6,24,3,0,1
190087,1,6,63,11,0,1
190088,1,6,64,7,0,1
190089,1,6,63,7,0,1
190090,1,6,28,7,0,1
190091,1,6,26,0,0,1
190092,1,6,32,13,0,1
190093,1,6,58,13,0,1
190094,1,6,39,15,0,1
190095,1,1,59,8,0,1
190096,1,1,66,1,0,1
190097,1,2,26,5,0,1
190098,1,2,59,11,0,1
190099,1,2,29,0,0,1
190100,1,2,55,15,0,1
190101,1,3,42,14,0,1
190102,1,3,29,12,0,1
190103,1,3,40,13,0,1
190104,1,3,69,8,0,1
190105,1,4,69,12,0,1
190106,1,5,20,18,0,1
190107,1,5,20,8,0,1
190108,1,6,26,0,0,1
190109,1,7,48,4,0,1
190110,1,7,55,15,0,1
190111,1,8,41,7,0,1
190112,1,8,62,6,0,1
190113,1,8,28,2,0,1
190114,1,8,56,2,0,1
190115,1,8,52,13,0,1
190116,1,9,59,10,0,1
190117,1,9,68,5,0,1
190118,1,9,55,8,0,1
190119,1,10,62,5,0,1
190120,1,11,54,12,0,1
190121,1,11,62,4,0,1
190122,1,11,43,12,0,1
190123,1,11,37,7,0,1
190124,1,11,42,12,0,1
190125,1,12,24,8,0,1
190126,1,12,57,6,0,1
190127,1,12,29,15,0,1
190128,1,12,58,10,0,1
190129,1,12,67,6,0,1
190130,1,12,29,7,0,1
190131,1,12,33,17,0,1
190132,1,12,38,18,0,1
190133,1,12,67,17,0,1
190134,1,12,23,4,0,1
190135,1,12,64,4,0,1
190136,1,1,28,18,0,1
190137,1,1,21,0,0,1
190138,1,1,40,19,0,1
190139,1,2,52,9,0,1
190140,1,3,48,3,0,1
190141,1,3,43,10,0,1
190142,1,3,31,10,0,1
190143,1,3,45,9,0,1
190144,1,4,54,2,0,1
190145,1,4,43,14,0,1
190146,1,4,29,0,0,1
190147,1,4,23,1,0,1
190148,1,4,25,8,0,1
190149,1,4,49,6,0,1
190150,1,4,35,16,0,1
190151,1,4,53,5,0,1
190152,1,5,44,17,0,1
190153,1,5,57,5,0,1
190154,1,5,35,13,0,1
190155,1,6,47,16,0,1
190156,1,6,34,3,0,1
190157,1,6,28,0,0,1
190158,1,6,32,19,0,1
190159,1,1,67,4,0,1
190160,1,1,60,14,0,1
190161,1,1,58,17,0,1
190162,1,1,64,15,0,1
190163,1,1,34,19,0,1
190164,1,1,45,4,0,1
190165,1,1,35,6,0,1
190166,1,1,20,5,0,1
190167,1,1,39,3,0,1
190168,1,1,65,10,0,1
190169,1,1,40,16,0,1
190170,1,2,33,9,0,1
190171,1,2,39,9,0,1
190172,1,2,31,5,0,1
190173,1,2,68,0,0,1
190174,1,2,58,4,0,1
190175,1,2,53,2,0,1
190176,1,2,26,6,0,1
190177,1,2,53,12,0,1
190178,1,2,37,4,0,1
190179,1,2,45,18,0,1
190180,1,2,56,16,0,1
190181,1,2,37,1,0,1
190182,1,3,24,18,0,1
190183,1,3,50,12,0,1
190184,1,3,47,13,0,1
190185,1,3,60,11,0,1
190186,1,3,28,16,0,1
190187,1,3,58,17,0,1
190188,1,3,26,12,0,1
190189,1,3,35,11,0,1
190190,1,3,65,7,0,1
190191,1,3,43,11,0,1
190192,1,3,64,14,0,1
190193,1,3,65,19,0,1
190194,1,3,63,5,0,1
190195,1,3,24,12,0,1
190196,1,3,34,4,0,1
190197,1,4,50,3,0,1
190198,1,4,58,5,0,1
190199,1,4,27,17,0,1
190200,1,4,23,7,0,1
190201,1,4,69,14,0,1
190202,1,4,26,2,0,1
190203,1,4,46,19,0,1
190204,1,4,44,0,0,1
190205,1,4,25,3,0,1
190206,1,4,25,17,0,1
190207,1,4,46,13,0,1
190208,1,4,23,6,0,1
190209,1,4,63,1,0,1
190210,1,4,60,0,0,1
190211,1,5,68,17,0,1
190212,1,5,36,12,0,1
190213,1,5,40,17,0,1
190214,1,5,24,9,0,1
190215,1,5,33,7,0,1
190216,1,5,40,6,0,1
190217,1,5,52,1,0,1
190218,1,5,53,13,0,1
190219,1,5,40,1,0,1
190220,1,5,31,7,0,1
190221,1,5,30,6,0,1
190222,1,5,29,2,0,1
190223,1,6,43,10,0,1
190224,1,6,58,7,0,1
190225,1,6,62,18,0,1
190226,1,6,41,2,0,1
190227,1,6,42,11,0,1
190228,1,6,41,18,0,1
190229,1,6,62,16,0,1
190230,1,6,32,15,0,1
190231,1,6,68,10,0,1
190232,1,6,34,11,0,1
190233,1,6,65,14,0,1
190234,1,6,58,16,0,1
190235,1,6,36,1,0,1
190236,1,7,35,16,0,1
190237,1,7,68,4,0,1
190238,1,7,49,3,0,1
190239,1,7,23,4,0,1
190240,1,7,67,3,0,1
190241,1,7,34,11,0,1
190242,1,7,55,19,0,1
190243,1,7,51,5,0,1
190244,1,7,66,7,0,1
190245,1,8,34,16,0,1
190246,1,8,46,2,0,1
190247,1,8,29,10,0,1
190248,1,8,49,13,0,1
190249,1,8,45,13,0,1
190250,1,8,21,2,0,1
190251,1,8,49,3,0,1
190252,1,8,65,7,0,1
190253,1,8,47,10,0,1
190254,1,8,53,7,0,1
190255,1,8,20,7,0,1
190256,1,8,52,4,0,1
190257,1,9,65,18,0,1
190258,1,9,35,15,0,1
190259,1,9,46,19,0,1
190260,1,9,44,1,0,1
190261,1,9,31,10,0,1
190262,1,9,33,7,0,1
190263,1,9,20,12,0,1
190264,1,9,69,3,0,1
190265,1,9,49,0,0,1
190266,1,9,62,6,0,1
190267,1,9,32,7,0,1
190268,1,9,66,3,0,1
190269,1,9,28,13,0,1
190270,1,9,32,7,0,1
190271,1,10,53,9,0,1
190272,1,10,34,12,0,1
190273,1,10,21,2,0,1
190274,1,10,46,5,0,1
190275,1,10,48,9,0,1
190276,1,10,57,4,0,1
190277,1,10,63,1,0,1
190278,1,10,55,0,0,1
190279,1,10,64,16,0,1
190280,1,10,44,14,0,1
190281,1,10,29,7,0,1
190282,1,10,60,3,0,1
190283,1,10,36,15,0,1
190284,1,10,68,17,0,1
190285,1,10,27,15,0,1
190286,1,11,46,17,0,1
190287,1,11,49,18,0,1
190288,1,11,21,4,0,1
190289,1,11,36,0,0,1
190290,1,11,37,16,0,1
190291,1,11,21,17,0,1
190292,1,11,27,13,0,1
190293,1,11,39,17,0,1
190294,1,11,58,4,0,1
190295,1,11,32,12,0,1
190296,1,11,36,7,0,1
190297,1,11,43,0,0,1
190298,1,11,21,15,0,1
190299,1,11,46,19,0,1
190300,1,12,21,16,0,1
190301,1,12,44,9,0,1
190302,1,12,41,12,0,1
190303,1,12,28,6,0,1
190304,1,12,48,0,0,1
190305,1,12,35,9,0,1
190306,1,12,55,8,0,1
190307,1,12,25,6,0,1
190308,1,12,25,12,0,1
190309,1,12,48,1,0,1
190310,1,1,39,17,0,1
190311,1,1,32,5,0,1
190312,1,1,50,0,0,1
190313,1,1,37,12,0,1
190314,1,1,49,0,0,1
190315,1,1,67,9,0,1
190316,1,1,27,8,0,1
190317,1,1,64,13,0,1
190318,1,1,69,11,0,1
190319,1,2,27,6,0,1
190320,1,2,35,9,0,1
190321,1,2,28,19,0,1
190322,1,2,28,12,0,1
190323,1,2,28,16,0,1
190324,1,2,59,13,0,1
190325,1,2,62,14,0,1
190326,1,2,67,1,0,1
190327,1,3,39,1,0,1
190328,1,3,54,10,0,1
190329,1,3,23,14,0,1
190330,1,3,66,17,0,1
190331,1,3,39,13,0,1
190332,1,3,35,5,0,1
190333,1,3,46,0,0,1
190334,1,3,56,11,0,1
190335,1,3,40,1,0,1
190336,1,4,45,19,0,1
190337,1,4,30,0,0,1
190338,1,4,23,3,0,1
190339,1,4,28,0,0,1
190340,1,4,26,19,0,1
190341,1,4,20,19,0,1
190342,1,4,60,9,0,1
190343,1,4,48,9,0,1
190344,1,4,57,15,0,1
190345,1,4,58,0,0,1
190346,1,4,20,11,0,1
190347,1,4,24,0,0,1
190348,1,4,69,17,0,1
190349,1,5,40,13,0,1
190350,1,5,52,8,0,1
190351,1,5,23,14,0,1
190352,1,5,21,2,0,1
190353,1,5,65,0,0,1
190354,1,5,65,13,0,1
190355,1,5,56,19,0,1
190356,1,6,37,12,0,1
190357,1,6,32,17,0,1
190358,1,6,66,15,0,1
190359,1,6,61,3,0,1
190360,1,6,57,1,0,1
190361,1,6,26,12,0,1
190362,1,6,43,4,0,1
190363,1,6,59,9,0,1
190364,1,6,64,17,0,1
190365,1,7,58,11,0,1
190366,1,7,29,1,0,1
190367,1,7,37,12,0,1
190368,1,7,31,19,0,1
190369,1,7,25,15,0,1
190370,1,8,60,8,0,1
190371,1,10,35,17,0,1
190372,1,1,69,3,1,0
190373,1,1,50,13,1,0
190374,1,1,39,17,1,0
190375,1,1,43,13,1,0
190376,1,1,65,2,1,0
190377,1,1,58,9,1,0
190378,1,1,35,11,1,0
190379,1,1,51,17,1,0
190380,1,2,42,11,1,0
190381,1,2,45,11,1,0
190382,1,2,34,0,1,0
190383,1,2,42,14,1,0
190384,1,2,42,6,1,0
190385,1,2,23,10,1,0
190386,1,2,26,16,1,0
190387,1,2,36,18,1,0
190388,1,2,64,5,1,0
190389,1,3,52,10,1,0
190390,1,3,53,19,1,0
190391,1,3,38,5,1,0
190392,1,3,35,17,1,0
190393,1,3,40,16,1,0
190394,1,3,66,1,1,0
190395,1,3,20,16,1,0
190396,1,3,27,10,1,0
190397,1,3,29,12,1,0
190398,1,3,55,0,1,0
190399,1,3,25,12,1,0
190400,1,3,25,15,1,0
190401,1,3,28,8,1,0
190402,1,3,32,10,1,0
190403,1,3,55,4,1,0
190404,1,4,50,13,1,0
190405,1,4,37,4,1,0
190406,1,4,44,9,1,0
190407,1,4,31,18,1,0
190408,1,4,57,8,1,0
190409,1,4,54,0,1,0
190410,1,4,24,2,1,0
190411,1,4,20,2,1,0
190412,1,4,46,4,1,0
190413,1,4,66,10,1,0
190414,1,4,60,0,1,0
190415,1,4,51,8,1,0
190416,1,5,36,14,1,0
190417,1,5,67,14,1,0
190418,1,5,55,18,1,0
190419,1,5,49,2,1,0
190420,1,5,24,2,1,0
190421,1,5,69,19,1,0
190422,1,5,60,1,1,0
190423,1,5,31,18,1,0
190424,1,5,22,10,1,0
190425,1,5,41,8,1,0
190426,1,5,35,18,1,0
190427,1,5,67,0,1,0
190428,1,5,29,2,1,0
190429,1,6,57,10,1,0
190430,1,6,41,6,1,0
190431,1,6,36,10,1,0
190432,1,6,35,6,1,0
190433,1,6,48,10,1,0
190434,1,6,62,5,1,0
190435,1,6,36,19,1,0
190436,1,6,48,11,1,0
190437,1,6,37,16,1,0
190438,1,6,56,13,1,0
190439,1,6,50,16,1,0
190440,1,6,42,2,1,0
190441,1,6,26,6,1,0
190442,1,6,36,14,1,0
190443,1,7,54,12,1,0
190444,1,7,23,6,1,0
190445,1,7,22,7,1,0
190446,1,7,31,2,1,0
190447,1,7,28,16,1,0
190448,1,7,39,13,1,0
190449,1,7,36,2,1,0
190450,1,7,39,16,1,0
190451,1,7,58,6,1,0
190452,1,7,67,17,1,0
190453,1,7,51,9,1,0
190454,1,7,38,5,1,0
190455,1,7,22,2,1,0
190456,1,7,49,11,1,0
190457,1,7,55,10,1,0
190458,1,7,68,15,1,0
190459,1,7,48,14,1,0
190460,1,8,27,16,1,0
190461,1,8,53,12,1,0
190462,1,8,51,14,1,0
190463,1,8,55,18,1,0
190464,1,8,66,13,1,0
190465,1,8,48,2,1,0
190466,1,8,43,8,1,0
190467,1,8,33,9,1,0
190468,1,8,23,9,1,0
190469,1,8,23,4,1,0
190470,1,8,59,14,1,0
190471,1,8,35,2,1,0
190472,1,8,23,7,1,0
190473,1,8,23,19,1,0
190474,1,8,63,3,1,0
190475,1,8,66,6,1,0
190476,1,8,29,16,1,0
190477,1,8,42,1,1,0
190478,1,9,39,6,1,0
190479,1,9,52,3,1,0
190480,1,9,37,4,1,0
190481,1,9,58,16,1,0
190482,1,9,62,18,1,0
190483,1,9,56,15,1,0
190484,1,9,43,13,1,0
190485,1,9,35,3,1,0
190486,1,9,37,6,1,0
190487,1,9,32,4,1,0
190488,1,9,38,9,1,0
190489,1,9,20,11,1,0
190490,1,9,69,7,1,0
190491,1,9,43,11,1,0
190492,1,9,61,16,1,0
190493,1,9,30,14,1,0
190494,1,9,54,6,1,0
190495,1,9,33,0,1,0
190496,1,9,69,17,1,0
190497,1,9,62,13,1,0
190498,1,9,44,10,1,0
190499,1,10,56,2,1,0
190500,1,10,59,4,1,0
190501,1,10,48,9,1,0
190502,1,10,29,8,1,0
190503,1,10,53,6,1,0
190504,1,10,59,17,1,0
190505,1,10,35,8,1,0
190506,1,10,55,1,1,0
190507,1,10,23,18,1,0
190508,1,10,41,4,1,0
190509,1,10,46,10,1,0
190510,1,10,33,8,1,0
190511,1,10,57,13,1,0
190512,1,10,32,12,1,0
190513,1,10,36,14,1,0
190514,1,10,32,9,1,0
190515,1,10,62,14,1,0
190516,1,10,27,5,1,0
190517,1,10,34,17,1,0
190518,1,10,64,2,1,0
190519,1,10,31,3,1,0
190520,1,10,55,10,1,0
190521,1,10,48,2,1,0
190522,1,10,33,1,1,0
190523,1,11,25,17,1,0
190524,1,11,39,16,1,0
190525,1,11,29,8,1,0
190526,1,11,31,18,1,0
190527,1,11,50,8,1,0
190528,1,11,26,8,1,0
190529,1,11,31,16,1,0
190530,1,11,49,15,1,0
190531,1,11,30,9,1,0
190532,1,11,30,0,1,0
190533,1,11,56,13,1,0
190534,1,11,54,1,1,0
190535,1,11,57,8,1,0
190536,1,11,27,8,1,0
190537,1,11,52,7,1,0
190538,1,11,67,5,1,0
190539,1,11,53,16,1,0
190540,1,11,66,17,1,0
190541,1,11,62,8,1,0
190542,1,11,63,6,1,0
190543,1,11,29,0,1,0
190544,1,11,26,8,1,0
190545,1,12,69,2,1,0
190546,1,12,44,19,1,0
190547,1,12,61,0,1,0
190548,1,12,42,0,1,0
190549,1,12,43,9,1,0
190550,1,12,50,7,1,0
190551,1,12,27,5,1,0
190552,1,12,41,0,1,0
190553,1,12,49,11,1,0
190554,1,12,56,10,1,0
190555,1,12,26,14,1,0
190556,1,12,68,14,1,0
190557,1,12,50,16,1,0
190558,1,12,47,12,1,0
190559,1,12,45,1,1,0
190560,1,12,36,0,1,0
190561,1,12,32,10,1,0
190562,1,12,42,14,1,0
190563,1,12,69,7,1,0
190564,1,12,56,15,1,0
190565,1,12,45,13,1,0
190566,1,12,22,6,1,0
190567,1,12,39,17,1,0
190568,1,12,47,13,1,0
190569,1,12,40,2,1,0
190570,1,12,64,14,1,0
190571,1,12,31,7,1,0
190572,1,1,26,9,1,0
190573,1,1,50,7,1,0
190574,1,1,42,11,1,0
190575,1,1,57,19,1,0
190576,1,1,32,15,1,0
190577,1,1,50,3,1,0
190578,1,1,33,8,1,0
190579,1,2,36,18,1,0
190580,1,2,42,14,1,0
190581,1,2,36,18,1,0
190582,1,2,61,15,1,0
190583,1,2,58,19,1,0
190584,1,2,48,0,1,0
190585,1,2,27,18,1,0
190586,1,2,36,19,1,0
190587,1,3,47,5,1,0
190588,1,3,22,16,1,0
190589,1,3,64,11,1,0
190590,1,3,28,19,1,0
190591,1,3,49,9,1,0
190592,1,3,23,4,1,0
190593,1,3,35,7,1,0
190594,1,3,21,10,1,0
190595,1,3,40,19,1,0
190596,1,3,43,1,1,0
190597,1,3,45,8,1,0
190598,1,3,34,13,1,0
190599,1,4,24,17,1,0
190600,1,4,55,7,1,0
190601,1,4,35,5,1,0
190602,1,4,36,17,1,0
190603,1,4,59,6,1,0
190604,1,4,51,17,1,0
190605,1,4,41,10,1,0
190606,1,4,61,9,1,0
190607,1,4,38,8,1,0
190608,1,4,25,6,1,0
190609,1,4,59,13,1,0
190610,1,4,69,9,1,0
190611,1,4,48,10,1,0
190612,1,4,41,5,1,0
190613,1,4,30,13,1,0
190614,1,4,23,1,1,0
190615,1,5,38,19,1,0
190616,1,5,23,10,1,0
190617,1,5,57,7,1,0
190618,1,5,54,1,1,0
190619,1,5,46,2,1,0
190620,1,5,26,3,1,0
190621,1,5,30,19,1,0
190622,1,5,26,8,1,0
190623,1,5,33,13,1,0
190624,1,5,32,16,1,0
190625,1,5,65,1,1,0
190626,1,6,24,14,1,0
190627,1,6,51,17,1,0
190628,1,6,46,18,1,0
190629,1,6,59,9,1,0
190630,1,6,48,15,1,0
190631,1,6,23,6,1,0
190632,1,6,66,12,1,0
190633,1,6,35,14,1,0
190634,1,6,25,6,1,0
190635,1,6,38,0,1,0
190636,1,6,61,14,1,0
190637,1,6,53,17,1,0
190638,1,6,57,18,1,0
190639,1,6,37,15,1,0
190640,1,6,35,8,1,0
190641,1,6,39,19,1,0
190642,1,6,55,10,1,0
190643,1,1,46,12,1,0
190644,1,1,21,11,1,0
190645,1,1,61,16,1,0
190646,1,1,30,17,1,0
190647,1,1,27,16,1,0
190648,1,2,28,7,1,0
190649,1,2,40,4,1,0
190650,1,2,41,16,1,0
190651,1,3,49,0,1,0
190652,1,3,25,2,1,0
190653,1,3,46,1,1,0
190654,1,4,31,1,1,0
190655,1,4,34,9,1,0
190656,1,4,68,4,1,0
190657,1,4,33,13,1,0
190658,1,4,69,4,1,0
190659,1,5,24,11,1,0
190660,1,5,31,0,1,0
190661,1,5,27,14,1,0
190662,1,5,25,6,1,0
190663,1,6,41,15,1,0
190664,1,6,55,4,1,0
190665,1,6,50,9,1,0
190666,1,6,48,13,1,0
190667,1,6,28,1,1,0
190668,1,6,38,16,1,0
190669,1,7,59,1,1,0
190670,1,7,30,7,1,0
190671,1,7,47,4,1,0
190672,1,7,29,16,1,0
190673,1,7,49,14,1,0
190674,1,7,52,17,1,0
190675,1,7,58,0,1,0
190676,1,7,43,4,1,0
190677,1,7,27,5,1,0
190678,1,7,36,2,1,0
190679,1,8,58,17,1,0
190680,1,8,37,7,1,0
190681,1,8,54,0,1,0
190682,1,8,22,15,1,0
190683,1,8,30,15,1,0
190684,1,8,24,9,1,0
190685,1,8,59,10,1,0
190686,1,8,58,6,1,0
190687,1,8,47,19,1,0
190688,1,8,68,8,1,0
190689,1,9,69,18,1,0
190690,1,9,33,5,1,0
190691,1,9,68,10,1,0
190692,1,9,36,17,1,0
190693,1,9,20,17,1,0
190694,1,9,26,11,1,0
190695,1,10,51,13,1,0
190696,1,11,23,5,1,0
190697,1,11,62,2,1,0
190698,1,11,59,12,1,0
190699,1,11,40,16,1,0
190700,1,11,35,14,1,0
190701,1,11,67,5,1,0
